1,2,15,3,"C","K","N","D","B","E",3,"H","B",20,2,"N","K","N",48,12,"N",16,"A",5,31,1,23,6,"Y","N","E",1,1
12,8,23,3,"N","K","N","B","B","E",8,"H","B",15,1,"A","K","N",66,10,"N",5,"C",2,25,1,8,7,"Y","N","E",3,1
3,4,11,5,"N","K","N","B","B","E",8,"J","B",20,1,"A","K","Y",85,9,"N",8,"A",3,40,1,17,1,"Y","Y","C",3,5
8,2,7,5,"N","K","N","B","B","E",2,"I","B",15,1,"N","R","Y",94,8,"Y",15,"C",2,25,1,3,6,"Y","Y","E",2,1
4,4,17,4,"N","A","Y","B","B","D",7,"B","B",10,3,"A","I","N",49,7,"N",15,"A",2,40,1,5,6,"Y","N","C",3,4
1,15,16,1,"N","K","N","B","B","E",3,"H","B",20,1,"A","P","Y",40,13,"N",10,"A",1,37,1,17,5,"Y","Y","C",1,2
1,19,1,1,"N","A","Y","A","B","D",8,"B","B",15,3,"A","B","N",31,8,"N",9,"A",2,40,1,18,3,"Y","N","E",4,1
2,18,13,1,"N","K","N","B","B","F",2,"H","B",10,1,"A","J","N",41,10,"N",2,"A",1,31,1,1,7,"Y","N","E",1,1
7,14,1,1,"B","I","Y","B","B","E",7,"H","A",10,1,"A","K","N",17,18,"N",5,"A",2,40,1,20,7,"Y","N","E",2,2
5,1,18,5,"C","H","Y","B","B","F",7,"H","B",15,1,"A","K","N",26,15,"Y",22,"E",2,31,1,21,5,"N","N","E",3,2
1,2,4,3,"C","A","N","B","B","D",7,"B","B",5,1,"N","B","Y",92,12,"N",11,"A",2,37,1,18,5,"Y","Y","E",2,3
1,19,3,2,"N","B","Y","B","B","D",12,"B","B",15,3,"A","B","N",64,8,"Y",5,"B",2,40,1,17,1,"N","N","A",4,1
4,16,17,1,"B","H","Y","B","B","E",7,"J","B",20,1,"C","R","N",21,9,"N",5,"B",2,37,1,9,7,"N","N","A",3,1
1,7,5,3,"C","A","Y","B","B","D",12,"B","B",10,1,"A","I","Y",95,7,"Y",21,"C",2,22,1,3,7,"Y","Y","E",2,1
5,2,18,4,"C","H","N","B","B","E",8,"J","B",15,1,"A","K","N",53,14,"Y",12,"B",2,25,1,24,7,"Y","N","E",2,8
4,14,22,2,"B","H","N","B","B","F",12,"H","B",15,1,"A","K","N",55,16,"N",15,"E",2,22,1,1,6,"N","N","D",2,4
2,5,18,3,"N","K","N","B","B","E",3,"H","B",15,1,"A","R","N",67,9,"N",22,"A",1,37,1,10,5,"Y","N","E",1,11
1,13,16,3,"B","C","Y","B","B","D",8,"B","B",10,3,"A","I","N",53,9,"N",11,"A",3,40,1,11,5,"Y","N","C",3,8
2,14,11,6,"N","K","Y","B","B","E",12,"H","B",15,1,"A","K","N",68,17,"N",14,"A",2,40,1,18,4,"N","N","A",2,6
1,16,9,6,"N","K","Y","B","B","E",8,"J","B",15,1,"A","M","N",49,9,"N",10,"A",2,40,1,19,5,"N","N","A",6,7
5,9,18,4,"B","K","Y","B","B","E",12,"J","B",10,1,"A","R","N",54,12,"Y",6,"C",2,31,1,8,6,"Y","N","E",2,1
1,9,19,3,"N","C","N","B","B","D",3,"L","B",15,2,"A","I","N",41,7,"N",4,"B",2,22,2,1,6,"Y","N","E",2,1
2,3,18,1,"B","B","N","B","B","D",2,"B","B",15,1,"A","B","N",34,10,"Y",19,"B",2,37,1,10,4,"Y","N","E",2,1
2,7,14,4,"N","K","N","B","B","F",12,"J","B",15,1,"A","N","N",66,8,"N",17,"A",2,34,1,12,7,"Y","N","E",2,4
2,13,19,3,"N","A","N","B","B","D",12,"B","B",5,1,"A","I","N",27,12,"Y",10,"A",2,40,1,17,7,"N","N","A",2,4
2,3,18,5,"B","J","N","B","D","E",7,"J","B",20,3,"A","R","N",75,15,"N",7,"A",2,37,1,10,6,"Y","N","C",4,1
2,13,22,3,"N","C","N","B","B","D",12,"L","B",20,1,"A","E","N",48,19,"Y",3,"B",2,40,1,5,7,"Y","N","E",2,1
11,3,11,7,"B","I","Y","B","B","E",8,"M","B",20,1,"A","K","Y",46,11,"Y",7,"A",2,37,1,2,4,"Y","Y","E",2,5
1,9,17,2,"B","I","N","B","B","E",3,"H","B",10,1,"A","K","N",89,16,"N",13,"A",3,25,1,14,6,"Y","N","E",3,9
1,18,9,6,"N","B","Y","B","B","D",3,"B","B",10,1,"A","E","Y",100,9,"N",17,"C",2,22,1,8,6,"Y","N","E",2,1
2,17,17,1,"B","H","N","B","B","F",8,"H","B",15,1,"A","N","N",51,9,"Y",15,"B",2,31,1,1,7,"N","N","A",3,1
8,2,3,2,"N","K","N","B","B","E",12,"N","D",10,1,"A","N","N",36,12,"N",10,"A",2,31,1,15,6,"Y","N","E",2,3
17,17,10,4,"N","K","Y","B","B","E",3,"H","A",20,1,"A","R","N",49,11,"Y",6,"A",2,31,1,6,3,"Y","N","E",2,3
10,11,17,3,"N","C","Y","B","B","D",2,"L","B",10,1,"A","A","N",23,14,"N",11,"B",2,28,1,13,4,"Y","N","E",3,1
8,7,17,1,"N","K","Y","B","B","F",2,"H","B",20,3,"A","R","N",62,8,"N",16,"A",1,40,1,25,7,"N","N","C",1,1
2,14,19,6,"E","H","Y","B","B","D",8,"B","B",15,1,"A","I","N",65,11,"N",4,"B",1,37,1,12,2,"N","N","A",1,1
1,19,13,2,"E","K","N","D","B","E",3,"H","B",20,3,"A","K","N",71,28,"Y",20,"A",4,34,1,9,1,"N","N","A",4,12
8,7,18,1,"B","A","N","B","B","D",3,"B","D",15,3,"A","G","N",53,8,"N",11,"B",2,34,1,10,3,"Y","N","E",2,1
5,3,6,4,"E","C","Y","B","B","D",3,"A","A",20,1,"A","D","N",88,20,"N",5,"B",1,31,1,18,5,"Y","N","D",1,1
1,17,3,2,"N","K","N","B","B","F",12,"H","B",10,3,"A","K","N",44,8,"Y",16,"A",1,34,1,19,5,"N","N","C",1,3
5,5,17,4,"B","K","N","B","B","E",2,"H","B",20,1,"A","R","N",65,7,"N",14,"A",3,40,1,8,5,"Y","N","D",6,7
1,11,17,1,"W","H","Y","B","B","D",12,"L","B",15,1,"A","A","N",26,16,"N",3,"B",1,31,1,18,7,"Y","N","E",1,1
4,9,16,2,"B","I","N","B","B","E",12,"J","B",20,1,"A","R","N",92,15,"N",10,"A",2,31,1,11,7,"Y","N","E",6,4
8,11,8,3,"N","H","N","B","D","E",3,"H","B",20,1,"A","K","N",50,18,"Y",5,"B",2,25,1,19,4,"Y","N","C",4,1
3,13,17,7,"N","C","N","B","D","D",3,"B","B",15,1,"A","I","N",93,9,"Y",6,"B",2,28,1,18,1,"Y","N","E",3,1
24,19,23,6,"N","K","Y","B","B","E",12,"H","B",20,1,"A","R","N",39,23,"N",17,"A",1,22,1,20,3,"N","N","A",1,11
8,14,7,2,"N","K","Y","B","B","E",2,"H","B",10,1,"A","R","N",88,15,"Y",6,"A",2,37,1,20,6,"Y","N","E",2,2
2,4,19,1,"S","A","Y","B","B","D",7,"B","B",10,1,"A","B","N",16,9,"N",12,"B",2,28,1,20,1,"N","N","E",2,1
7,7,14,5,"B","K","N","B","B","E",12,"H","B",10,1,"A","N","N",99,9,"N",13,"C",1,40,1,23,6,"Y","N","E",1,1
1,11,17,1,"N","C","Y","D","B","D",12,"B","B",15,1,"A","I","N",36,10,"N",10,"A",5,40,1,20,3,"Y","N","E",5,4
6,7,15,1,"B","I","Y","B","B","E",3,"H","B",10,3,"A","L","N",64,10,"N",13,"A",2,28,1,3,3,"Y","N","E",4,9
2,15,6,2,"B","K","N","B","B","E",12,"H","B",20,3,"A","K","Y",69,7,"N",13,"A",3,34,1,1,7,"Y","Y","E",3,11
1,17,18,1,"N","K","N","B","B","E",7,"J","B",10,1,"A","N","N",62,8,"Y",4,"A",2,37,1,16,6,"Y","N","C",3,2
1,8,9,6,"B","H","Y","B","B","D",2,"B","B",20,1,"A","C","N",95,12,"N",10,"A",4,28,1,7,3,"Y","N","A",5,6
1,18,15,4,"N","H","N","B","B","D",8,"B","B",15,1,"A","I","N",18,10,"N",12,"E",2,37,1,1,7,"Y","N","E",3,10
1,6,14,4,"E","A","N","B","B","D",7,"B","B",15,3,"A","B","N",74,10,"Y",10,"A",1,22,1,24,2,"Y","N","C",2,1
4,8,17,2,"N","C","N","B","B","D",7,"B","C",20,1,"A","A","N",89,16,"N",5,"B",1,25,1,3,3,"Y","N","E",1,1
5,18,12,2,"B","K","Y","B","B","E",12,"J","B",20,1,"A","K","N",12,11,"N",7,"C",1,37,1,16,4,"Y","N","E",1,1
4,9,12,4,"N","C","Y","B","B","D",8,"B","B",10,3,"A","E","N",71,15,"N",20,"A",1,40,1,19,2,"Y","N","E",1,3
7,11,5,4,"N","B","Y","B","B","D",8,"L","C",10,1,"A","E","N",57,10,"N",10,"A",2,31,1,9,1,"Y","N","E",2,5
13,9,5,3,"N","A","Y","B","B","D",3,"B","B",15,1,"A","I","N",66,11,"N",7,"B",1,22,1,8,7,"N","N","A",1,1
4,5,15,5,"B","A","Y","B","B","D",2,"B","B",10,1,"A","I","Y",87,8,"Y",14,"A",2,40,1,10,3,"Y","Y","E",2,1
9,15,9,4,"N","K","N","B","B","E",3,"M","B",15,1,"A","R","N",9,16,"Y",5,"A",2,40,1,18,6,"Y","N","D",6,2
2,7,17,5,"B","I","N","B","B","E",8,"H","B",15,3,"A","K","N",97,7,"Y",18,"A",2,31,1,7,7,"Y","N","E",2,11
7,9,18,5,"N","H","N","B","B","D",3,"B","B",10,2,"A","I","N",36,10,"N",5,"A",2,31,1,1,1,"Y","N","E",3,1
